artist_name,album_name,album_release_date,track_name,track_release_date,duration_ms,popularity,danceability,energy,acousticness,instrumentalness,valence,tempo,liveness,loudness,speechiness,audio_type,lyrics_full,lyrics_cleaned,spotify_url
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Light Years - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,279779,18,0.179,0.737,0.00231,0.206,0.0963,139.832,0.949,-6.713,0.0418,live,Not available,Not available,https://open.spotify.com/track/63TOwNB2ntRDD4VKDD9Msr
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Saturn Return - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,379993,17,0.421,0.702,0.0218,0.000529,0.238,95.013,0.135,-6.865,0.0338,live,Not available,Not available,https://open.spotify.com/track/5dn9QQADhMoQUxOGilhXlY
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Maling Akala - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,300280,19,0.39,0.867,0.00772,4.21E-06,0.451,101.831,0.741,-6.188,0.0514,live,Not available,Not available,https://open.spotify.com/track/1CjLg5cwdEr5FD1yEZ378Q
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Tama Ka - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,208522,17,0.324,0.649,0.154,0.000147,0.276,175.861,0.155,-7.129,0.0431,live,Not available,Not available,https://open.spotify.com/track/2JQfuR0e58WcdrNEnHNR1z
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,With A Smile - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,398565,22,0.32,0.515,0.318,3.56E-06,0.168,69.718,0.326,-7.882,0.0344,live,Not available,Not available,https://open.spotify.com/track/0JkZjscR0qqEkVYIzV9YWC
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Insomya - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,131312,15,0.158,0.99,1.88E-05,0.0157,0.278,169.29,0.118,-6.886,0.0937,live,Not available,Not available,https://open.spotify.com/track/5BEd5hnBIpULqGkHLZP1tG
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Christmas Party - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,413232,15,0.566,0.778,0.0508,0.0029,0.385,111.99,0.478,-8.283,0.125,live,Not available,Not available,https://open.spotify.com/track/6v6qvvhYM3dFtwbpjkLlqu
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Spolarium - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,355975,29,0.399,0.737,0.0209,3.54E-06,0.28,85.97,0.0527,-6.508,0.0426,live,Not available,Not available,https://open.spotify.com/track/0uUxSG61lbXwbIcFiJB5jG
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Magasin - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,286439,21,0.365,0.911,0.00139,0.000187,0.184,107.487,0.391,-6.563,0.111,live,"[Intro: Crowd]
Ooh, ooh, ooh, ooh!
[Verse: Crowd]
Nakita kita sa isang magasin
Dilaw ang 'yong suot at buhok mo'y green
Isang tindahan sa may Baclaran
Napatingin, natulala sa iyong kagandahan
[Verse: Ely Buendia]
Naaalala mo pa ba no'ng tayo pang dal'wa?
'Di ko inakalang sisikat ka
Tinawanan pa kita, tinawag mo 'kong walang hiya
Medyo pangit ka pa no'n, ngunit ngayon
[Chorus: Ely Buendia]
Hey!, iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong perang
[Post-Chorus: Ely Buendia]
Pambili, ooh
Pambili sa mukha mong maganda
[Verse: Ely Buendia]
Siguro ay may kotse ka na ngayon
Rumarampa sa entablado, damit mo'y gawa ni Sotto
Siguro ay malapit ka na ring sumali
Sa Supermodel of the Whole Wide Universe
[Chorus: Ely Buendia]
Kasi iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong pera
[Guitar Solo: Marcus Adoro & Ely Buendia]
[Verse: Ely Buendia]
Nakita kita sa isang magasin
At sa sobrang gulat, 'di ko napansin
[Verse: Crowd & Ely Buendia]
Bastos pala ang pamagat, dali-dali ang binuklat
At ako'y namulat sa hubad na katotohanan
[Chorus: Ely Buendia]
Hey, iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong pera
[Chorus: Ely Buendia]
Hey, kasi iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago nang lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong perang
[Post-Chorus: Ely Buendia]
Pambili, ooh
Pambili sa mukha mong maganda
[Outro: Eraserheads & Crowd]
Nasa'n ka na kaya?
Sana ay masaya
Sana sa susunod na issue
Ay centerfold
[Outro]
Ka na, ah, ah (Ooh-ooh-ooh-ooh)
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, oooh","
Ooh, ooh, ooh, ooh!

Nakita kita sa isang magasin
Dilaw ang 'yong suot at buhok mo'y green
Isang tindahan sa may Baclaran
Napatingin, natulala sa iyong kagandahan

Naaalala mo pa ba no'ng tayo pang dal'wa?
'Di ko inakalang sisikat ka
Tinawanan pa kita, tinawag mo 'kong walang hiya
Medyo pangit ka pa no'n, ngunit ngayon

Hey!, iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong perang

Pambili, ooh
Pambili sa mukha mong maganda

Siguro ay may kotse ka na ngayon
Rumarampa sa entablado, damit mo'y gawa ni Sotto
Siguro ay malapit ka na ring sumali
Sa Supermodel of the Whole Wide Universe

Kasi iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong pera


Nakita kita sa isang magasin
At sa sobrang gulat, 'di ko napansin

Bastos pala ang pamagat, dali-dali ang binuklat
At ako'y namulat sa hubad na katotohanan

Hey, iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago na'ng lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong pera

Hey, kasi iba na ang 'yong ngiti, iba na ang 'yong tingin
Nagbago nang lahat sa'yo, oh, oh
Sana'y hindi nakita, sana'y walang problema
'Pagkat kulang ang dala kong perang

Pambili, ooh
Pambili sa mukha mong maganda

Nasa'n ka na kaya?
Sana ay masaya
Sana sa susunod na issue
Ay centerfold

Ka na, ah, ah (Ooh-ooh-ooh-ooh)
Ooh, ooh, ooh, ooh
Ooh, ooh, ooh, ooh, oooh",https://open.spotify.com/track/133emMEzi4GEZnZciGugTQ
Eraserheads,Huling El Bimbo (Live at 2022 The Eraserheads Reunion Concert),22/12/2022,Pare Ko - Live at 2022 The Eraserheads Reunion Concert,15/03/2024,420787,21,0.271,0.738,0.015,3.45E-06,0.104,137.463,0.392,-7.357,0.0603,live,Not available,Not available,https://open.spotify.com/track/6oOVmhRFvwrZK9rx5gGkUF
